type,lastSoldPrice,sqft,stories,beds,baths,baths_full,garage,age,lat,long
single_family,400000.0,1541.0,1.0,3.0,2.0,2.0,2.0,2.0,28.9949,-82.5196
single_family,525000.0,1664.0,1.0,3.0,2.0,2.0,2.0,48.0,28.8547,-82.6669
townhomes,275000.0,1344.0,2.0,2.0,3.0,2.0,1.0,18.0,28.6513,-81.2066
condos,335000.0,1389.0,2.0,2.0,2.0,2.0,0.0,20.0,27.9671,-82.4334
single_family,660000.0,2907.0,1.0,3.0,3.0,3.0,2.0,20.0,29.9475,-81.5264
townhomes,267500.0,1350.0,2.0,2.0,3.0,2.0,0.0,12.0,28.268,-81.4675
land,21000.0,753.2,1.0,1.6,1.8,1.4,0.0,40.0,26.824,-81.9547
single_family,450000.0,2540.0,2.0,4.0,3.0,2.0,2.0,18.0,27.845,-82.3125
single_family,403000.0,1829.0,1.0,3.0,2.0,2.0,2.0,23.0,27.9551,-82.2966
condos,299000.0,1647.0,1.0,3.0,2.0,2.0,1.0,20.0,26.9152,-82.0532
land,45000.0,1169.6,1.0,2.2,2.0,2.0,0.0,44.200000000000045,28.6622,-82.5236
single_family,283500.0,1575.0,1.0,3.0,2.0,2.0,2.0,23.0,29.0422,-81.2863
condos,250000.0,1090.0,5.0,2.0,2.0,2.0,0.0,41.0,26.4564,-80.1054
condos,160000.0,1508.0,1.0,2.0,2.0,2.0,0.0,40.0,28.7508,-82.5139
townhomes,290000.0,1384.0,2.0,2.0,2.0,2.0,0.0,37.0,28.7577,-81.3508
mobile,252500.0,1398.0,1.0,2.0,2.0,2.0,0.0,21.0,29.475,-81.1303
condos,3600000.0,3564.0,1.0,3.0,4.0,3.0,2.0,31.0,27.4125,-82.659
single_family,257000.0,1212.0,1.0,3.0,2.0,2.0,1.0,73.0,29.0266,-81.3349
single_family,355000.0,1423.0,1.0,3.0,2.0,2.0,1.0,23.0,28.3932,-81.3622
single_family,320000.0,1056.0,1.0,4.0,3.0,3.0,0.0,22.0,28.5423,-81.5911
condos,265000.0,1035.0,1.0,2.0,2.0,2.0,0.0,39.0,27.817,-82.6264
single_family,430000.0,1564.0,1.0,3.0,2.0,2.0,2.0,58.0,27.7898,-82.7243
single_family,458000.0,1441.0,1.0,3.0,2.0,2.0,2.0,40.0,28.3949,-81.4179
single_family,185000.0,756.0,1.0,2.0,1.0,1.0,0.0,68.0,28.2326,-82.7327
single_family,1500000.0,3940.0,2.0,4.0,4.0,4.0,3.0,19.0,27.8293,-82.1357
single_family,360000.0,1852.0,1.0,4.0,2.0,2.0,2.0,3.0,28.2397,-82.3279
single_family,1770000.0,4794.0,2.0,5.0,5.0,4.0,3.0,19.0,28.1385,-82.4821
condos,805000.0,1676.0,1.0,2.0,2.0,2.0,2.0,18.0,27.9781,-82.7815
single_family,250000.0,682.0,1.0,2.0,1.0,1.0,0.0,98.0,27.9671,-82.4334
single_family,629990.0,2903.0,2.0,4.0,3.0,2.0,2.0,1.0,28.6259,-81.7306
single_family,420490.0,3313.0,2.0,4.0,3.0,3.0,2.0,1.0,29.1565,-82.2095
single_family,525000.0,1700.0,1.0,3.0,2.0,2.0,2.0,1.0,28.0284,-82.7794
single_family,373500.0,2294.0,2.0,4.0,3.0,2.0,2.0,32.0,28.3306,-81.3544
single_family,456990.0,2120.0,1.0,3.0,3.0,2.0,2.0,1.0,28.273,-81.2003
single_family,895000.0,3437.0,2.0,4.0,3.0,3.0,2.0,47.0,27.8688,-82.7344
single_family,303990.0,1828.0,1.0,4.0,2.0,2.0,2.0,1.0,28.5466,-82.5213
single_family,1277250.0,4717.0,2.0,5.0,6.0,5.0,2.0,19.0,28.3037,-81.5898
single_family,170000.0,1040.0,1.0,2.0,1.0,1.0,0.0,66.0,27.7211,-81.5148
single_family,1000000.0,3698.0,2.0,5.0,4.0,3.0,3.0,19.0,28.1458,-82.6825
single_family,1518000.0,4000.0,1.0,4.0,4.0,3.0,2.0,21.0,28.7577,-81.3508
single_family,305000.0,1130.0,1.0,2.0,1.0,1.0,1.0,63.0,27.5382,-82.5006
townhomes,243290.0,1308.0,2.0,3.0,3.0,2.0,0.0,1.0,29.9175,-81.3668
single_family,269900.0,1527.0,1.0,3.0,2.0,2.0,2.0,24.0,30.084,-81.8645
single_family,275990.0,1665.0,1.0,4.0,2.0,2.0,2.0,1.0,28.5466,-82.5213
single_family,309888.0,2277.0,2.0,5.0,3.0,3.0,2.0,0.0,28.1145,-81.6201
single_family,579000.0,2396.0,2.0,4.0,3.0,3.0,2.0,3.0,28.5423,-81.5911
townhomes,325000.0,1702.0,2.0,3.0,3.0,2.0,2.0,2.0,29.0247,-80.9584
townhomes,289990.0,1787.0,2.0,3.0,3.0,2.0,1.0,0.0,28.1963,-81.6079
single_family,735000.0,2584.0,1.0,4.0,3.0,3.0,3.0,11.0,28.2397,-82.3279
single_family,330000.0,1644.0,1.0,3.0,2.0,2.0,2.0,32.0,28.4113,-81.7812
single_family,130000.0,1747.0,1.0,3.0,2.0,2.0,1.0,52.0,26.8842,-82.2691
single_family,574900.0,1752.0,1.0,5.0,4.0,4.0,0.0,68.0,28.0502,-82.45
single_family,1700000.0,3119.0,1.0,5.0,3.0,3.0,0.0,62.0,27.2566,-82.5398
land,14500.0,999.6,1.0,1.8,1.4,1.8,0.0,36.0,30.7107,-85.5486
single_family,339888.0,1665.0,1.0,4.0,2.0,2.0,2.0,1.0,28.8989,-81.2473
single_family,364000.0,1270.0,1.0,3.0,2.0,2.0,0.0,35.0,28.0509,-82.6164
townhomes,435000.0,1770.0,2.0,3.0,3.0,2.0,2.0,0.0,28.3774,-81.1888
mobile,250000.0,1860.0,1.0,3.0,2.0,2.0,0.0,25.0,28.4079,-82.5398
single_family,406000.0,1210.0,1.0,3.0,2.0,2.0,1.0,57.0,27.917,-82.8027
condos,360000.0,1050.0,1.0,2.0,1.0,1.0,2.0,19.0,27.9614,-82.4597
single_family,230000.0,968.0,1.0,3.0,1.0,1.0,0.0,55.0,27.7723,-82.6386
single_family,270000.0,1607.0,1.0,4.0,2.0,2.0,2.0,1.0,28.5093,-82.2957
condos,128900.0,1400.0,1.0,2.0,2.0,2.0,0.0,53.0,28.0173,-82.7461
single_family,245000.0,1269.0,1.0,2.0,2.0,2.0,1.0,36.0,29.5565,-81.219
single_family,269990.0,1239.0,1.0,2.0,2.0,2.0,1.0,1.0,29.7051,-81.4909
single_family,200000.0,1156.0,1.0,2.0,1.0,1.0,0.0,72.0,27.817,-82.6264
single_family,927000.0,2963.0,1.0,3.0,4.0,3.0,3.0,36.0,28.7577,-81.3508
single_family,290000.0,3122.0,2.0,4.0,4.0,3.0,2.0,11.0,27.7015,-82.3151
condos,227950.0,1764.0,1.0,3.0,2.0,2.0,1.0,35.0,28.4944,-81.2902
single_family,295000.0,1930.0,1.0,3.0,3.0,2.0,0.0,49.0,28.7508,-82.5139
single_family,3600000.0,3487.0,3.0,6.0,8.0,6.0,0.0,7.0,30.3105,-85.9106
single_family,415000.0,2005.0,1.0,4.0,3.0,3.0,2.0,1.0,27.5572,-82.396
single_family,465988.0,1672.0,1.0,3.0,2.0,2.0,2.0,1.0,28.5837,-81.5326
single_family,342990.0,2045.0,1.0,4.0,3.0,2.0,2.0,1.0,28.5466,-82.5213
single_family,338990.0,1862.0,1.0,4.0,2.0,2.0,2.0,0.0,29.5565,-81.219
single_family,569000.0,1928.0,1.0,4.0,2.0,2.0,1.0,70.0,27.7391,-82.6435
single_family,374000.0,1656.0,1.0,4.0,2.0,2.0,2.0,4.0,28.3112,-81.6643
townhomes,203000.0,1280.0,2.0,2.0,3.0,2.0,0.0,13.0,27.8633,-82.3499
single_family,866250.0,2385.0,1.0,4.0,3.0,3.0,2.0,8.0,27.7353,-82.6663
single_family,390000.0,1634.0,1.0,3.0,2.0,2.0,2.0,45.0,28.6831,-81.2814
single_family,610000.0,4342.0,2.0,6.0,4.0,4.0,3.0,9.0,27.8024,-82.2755
single_family,400000.0,2168.0,2.0,4.0,3.0,2.0,2.0,0.0,27.1384,-82.4518
single_family,275000.0,1661.0,1.0,3.0,2.0,2.0,2.0,50.0,28.072,-81.9609
condos,165000.0,1015.0,1.0,2.0,2.0,2.0,0.0,49.0,27.4841,-82.5834
single_family,990000.0,2744.0,1.0,4.0,3.0,2.8,0.0,326.0,25.7539,-80.2253
single_family,385000.0,2168.0,2.0,4.0,3.0,2.0,2.0,0.0,27.5572,-82.396
single_family,692000.0,1595.0,1.0,3.0,2.0,2.0,2.0,34.0,25.9924,-80.4089
single_family,440990.0,2601.0,2.0,5.0,3.0,3.0,2.0,0.0,29.0247,-80.9584
single_family,750000.0,2503.0,2.0,4.0,3.0,2.0,2.0,23.0,28.5525,-81.7574
single_family,1275000.0,2316.0,2.0,4.0,3.0,3.0,2.0,8.0,30.2801,-81.4165
single_family,48000.0,1151.2,1.0,2.0,1.8,1.6,0.0,36.59999999999991,27.2002,-80.841
mobile,92000.0,1500.0,1.0,3.0,2.0,2.0,2.0,21.0,26.5747,-80.0794
single_family,1475000.0,3172.0,1.0,4.0,4.0,3.0,2.0,38.0,26.6587,-80.2414
condos,140000.0,1447.0,1.0,2.0,2.0,2.0,0.0,43.0,26.9298,-82.0454
single_family,499900.0,1578.0,1.0,3.0,2.0,2.0,2.0,47.0,28.0848,-82.7253
single_family,274490.0,1707.0,1.0,4.0,2.0,2.0,2.0,0.0,30.5761,-87.0663
single_family,475000.0,1941.0,1.0,4.0,2.0,2.0,3.0,28.0,28.1385,-82.743
single_family,400000.0,2399.0,1.0,4.0,3.0,3.0,2.0,36.0,28.4671,-81.2417
single_family,635000.0,1944.0,1.0,3.0,2.0,2.0,2.0,60.0,27.817,-82.6264
townhomes,283990.0,1787.0,2.0,3.0,3.0,2.0,1.0,0.0,28.1963,-81.6079
single_family,440000.0,1602.0,1.0,3.0,2.0,2.0,2.0,53.0,28.4637,-81.3948
condos,275000.0,1312.0,1.0,2.0,3.0,2.0,0.0,25.0,27.3215,-80.403
mobile,25000.0,511.0,1.0,1.0,1.0,1.0,0.0,48.0,26.2785,-80.1157
single_family,1190000.0,2572.0,2.0,3.0,4.0,3.0,2.0,57.0,30.3571,-87.1639
single_family,450000.0,897.0,1.0,2.0,1.0,1.0,1.0,58.0,26.0296,-80.2489
single_family,532500.0,1913.0,1.0,3.0,2.0,2.0,2.0,27.0,26.5557,-82.0206
land,35000.0,1029.6,1.0,2.0,2.0,1.8,0.0,45.40000000000009,29.1015,-82.3413
single_family,450000.0,2343.0,1.0,4.0,2.0,2.0,2.0,27.0,26.5557,-82.0206
single_family,592000.0,3535.0,1.0,4.0,3.0,3.0,3.0,20.0,28.5466,-82.5213
land,14000.0,1075.2,1.0,2.2,1.8,1.8,0.0,46.799999999999955,27.0228,-82.1108
land,18000.0,920.0,1.0,2.0,1.8,1.8,0.0,41.40000000000009,27.798,-81.3572
single_family,406000.0,2389.0,2.0,5.0,3.0,2.0,2.0,0.0,28.2782,-82.4625
mobile,269000.0,2001.0,1.0,5.0,3.0,3.0,0.0,1.0,29.7976,-81.9899
single_family,400000.0,2133.0,1.0,4.0,2.0,2.0,2.0,32.0,28.5469,-81.2571
single_family,286990.0,1902.0,1.0,4.0,3.0,3.0,2.0,1.0,28.9938,-82.4241
townhomes,615000.0,2133.0,2.0,5.0,5.0,4.0,0.0,2.0,28.3037,-81.5898
single_family,371000.0,2820.0,2.0,4.0,3.0,3.0,2.0,48.0,27.9611,-81.9398
mobile,165000.0,2200.0,1.0,3.0,2.0,2.0,0.0,27.0,28.0452,-81.7325
mobile,62000.0,394.0,1.0,1.0,1.0,1.0,0.0,34.0,27.1861,-81.8667
single_family,385000.0,1455.0,1.0,3.0,2.0,2.0,2.0,32.0,28.6607,-81.1134
land,139900.0,1265.2,1.0,2.2,2.0,2.0,0.0,32.0,26.3304,-81.5871
condos,575000.0,836.0,1.0,2.0,1.0,1.0,0.0,60.0,27.2566,-82.5398
single_family,270000.0,1296.0,1.0,3.0,2.0,2.0,2.0,22.0,27.8024,-82.2755
mobile,54200.0,1534.0,1.0,2.0,2.0,2.0,0.0,50.0,29.1372,-81.0241
single_family,150000.0,1248.0,1.0,3.0,2.0,2.0,2.0,38.0,28.8013,-81.285
mobile,26000.0,1152.0,1.0,2.0,2.0,2.0,0.0,20.0,27.633,-80.4031
single_family,525000.0,2161.0,1.0,4.0,2.0,2.0,2.0,40.0,28.774,-81.6439
single_family,585000.0,1928.0,2.0,3.0,2.0,2.0,1.0,47.0,29.9475,-81.5264
single_family,365000.0,2028.0,1.0,4.0,2.0,2.0,2.0,21.0,27.9408,-82.242
townhomes,880000.0,1568.0,2.0,2.0,3.0,2.0,1.0,45.0,26.0984,-80.1822
mobile,2900.0,576.0,1.0,1.0,1.0,1.0,0.0,56.0,28.0496,-82.0069
single_family,2200000.0,3483.0,1.0,3.0,3.0,3.0,4.0,11.0,27.4067,-82.39
single_family,1118000.0,2251.0,1.0,4.0,2.0,2.0,3.0,11.0,26.3771,-81.7334
single_family,238000.0,1245.0,1.0,2.0,2.0,2.0,1.0,39.0,27.2945,-81.3649
mobile,80000.0,1635.0,1.0,3.0,3.0,3.0,0.0,30.0,27.415,-81.1965
single_family,295000.0,1869.0,1.0,3.0,2.0,2.0,2.0,30.0,28.808,-81.8858
single_family,393990.0,1672.0,1.0,3.0,2.0,2.0,2.0,1.0,28.273,-81.2003
single_family,280000.0,1375.0,1.0,3.0,2.0,2.0,2.0,34.0,28.5697,-80.8191
single_family,425000.0,2028.0,1.0,3.0,2.0,2.0,2.0,40.0,27.0606,-82.352
single_family,405921.0,2450.0,2.0,4.0,3.0,3.0,2.0,1.0,29.4861,-81.2045
single_family,775000.0,2590.0,1.0,3.0,3.0,2.0,2.0,20.0,26.1529,-81.7417
single_family,295000.0,2148.0,2.0,2.0,3.0,2.0,2.0,22.0,28.268,-81.4675
single_family,499990.0,3198.0,2.0,5.0,3.0,3.0,2.0,1.0,28.248,-81.2876
townhomes,350000.0,1189.0,2.0,3.0,2.0,2.0,0.0,21.0,25.4766,-80.4839
single_family,692000.0,2787.0,1.0,4.0,4.0,3.0,3.0,1.0,28.5837,-81.5326
condos,330000.0,1450.0,1.0,2.0,2.0,2.0,1.0,30.0,26.0426,-81.7182
single_family,2400000.0,3623.0,1.0,4.0,6.0,4.0,2.0,23.0,30.385,-86.3473
single_family,377000.0,1156.0,1.0,2.0,2.0,2.0,2.0,14.0,27.45,-82.3773
single_family,305000.0,1809.0,1.0,3.0,2.0,2.0,2.0,37.0,28.4655,-82.5981
single_family,840646.0,3849.0,2.0,5.0,5.0,4.0,2.0,20.0,28.5006,-81.5354
mobile,18000.0,982.4,1.0,1.0,1.0,1.0,0.0,50.0,28.5065,-82.6267
condos,375000.0,1646.0,1.0,3.0,2.0,2.0,1.0,33.0,26.0426,-81.7182
single_family,480000.0,1776.0,1.0,3.0,2.0,2.0,2.0,4.0,28.3774,-81.1888
mobile,207700.0,1856.0,1.0,4.0,3.0,3.0,0.0,25.0,29.0112,-82.0325
single_family,625000.0,2552.0,2.0,4.0,3.0,3.0,2.0,22.0,26.6644,-80.1741
single_family,1400000.0,2743.0,2.0,4.0,4.0,3.0,2.0,1.0,27.9845,-82.463
single_family,405000.0,2265.0,1.0,4.0,3.0,3.0,2.0,1.0,27.7901,-80.4784
single_family,328000.0,1843.0,1.0,3.0,2.0,2.0,2.0,34.0,28.1145,-81.6201
mobile,24900.0,956.0,1.0,2.0,2.0,2.0,0.0,43.0,28.1913,-82.7279
condos,425000.0,1998.0,2.0,3.0,2.0,2.0,1.0,4.0,27.0606,-82.352
single_family,1172000.0,3102.0,2.0,4.0,3.0,3.0,2.0,10.0,30.2933,-81.5092
single_family,387000.0,2036.0,1.0,4.0,3.0,3.0,2.0,3.0,30.6222,-81.5906
single_family,384990.0,1504.0,1.0,3.0,2.0,2.0,2.0,1.0,28.7644,-81.282
single_family,720000.0,3814.0,1.0,4.0,3.0,3.0,2.0,3.0,28.1479,-82.0372
single_family,1100000.0,2740.0,2.0,4.0,4.0,3.0,2.0,10.0,27.45,-82.3773
single_family,309959.0,1366.0,1.0,3.0,2.0,2.0,2.0,0.0,27.5572,-82.396
land,250000.0,1332.0,1.0,2.2,2.4,2.0,0.0,16.0,29.3918,-82.1062
single_family,2800000.0,5167.0,3.0,4.0,6.0,5.0,4.0,16.0,30.1949,-85.6727
single_family,850000.0,5822.0,2.0,6.0,7.0,6.0,2.0,39.0,27.9694,-80.6473
single_family,1150000.0,3343.0,2.0,5.0,5.0,4.0,3.0,9.0,25.9921,-80.2712
single_family,675000.0,2251.0,1.0,4.0,2.0,2.0,2.0,64.0,29.7964,-81.2649
single_family,660000.0,3413.0,1.0,5.0,3.0,3.0,2.0,39.0,28.0699,-82.1576
single_family,334900.0,1744.0,1.0,3.0,2.0,2.0,2.0,1.0,27.9865,-82.0139
single_family,415000.0,1503.0,1.0,2.0,2.0,2.0,2.0,3.0,26.0143,-81.5856
mobile,25000.0,924.0,1.0,2.0,2.0,2.0,0.0,37.0,27.5391,-80.4052
single_family,824000.0,2444.0,2.0,4.0,3.0,3.0,2.0,40.0,29.7964,-81.2649
mobile,67500.0,1060.0,1.0,2.0,2.0,2.0,0.0,26.0,28.2129,-82.6807
single_family,205000.0,1756.0,1.0,4.0,2.0,2.0,0.0,48.0,28.3506,-82.6288
condos,600000.0,1574.0,1.0,2.0,2.0,2.0,0.0,48.0,26.0984,-80.1822
single_family,715000.0,1933.0,1.0,3.0,2.0,2.0,2.0,3.0,26.7383,-80.276
single_family,2940000.0,3912.0,2.0,3.0,4.0,3.0,3.0,7.0,27.4678,-82.512
single_family,455000.0,1952.0,1.0,4.0,2.0,2.0,2.0,28.0,28.5523,-81.1795
single_family,599000.0,2809.0,2.0,4.0,4.0,3.0,3.0,10.0,30.084,-81.8645
mobile,199500.0,1056.0,1.0,3.0,2.0,2.0,0.0,41.0,28.3506,-82.6288
mobile,135000.0,1056.0,1.0,2.0,2.0,2.0,0.0,40.0,26.9298,-82.0454
single_family,670000.0,1666.0,1.0,3.0,2.0,2.0,2.0,46.0,25.6694,-80.4085
single_family,1605000.0,4920.0,2.0,5.0,5.0,4.0,3.0,18.0,30.011,-81.4108
single_family,985000.0,2092.0,2.0,3.0,4.0,3.0,2.0,21.0,27.1398,-80.2129
single_family,1200000.0,2964.0,2.0,4.0,4.0,4.0,6.0,112.0,28.391,-80.787
single_family,400000.0,1716.0,1.0,2.0,2.0,2.0,2.0,7.0,27.2606,-80.4771
single_family,3500000.0,4414.0,1.0,4.0,5.0,4.0,2.0,39.0,26.6644,-80.1741
single_family,3250000.0,5807.0,2.0,4.0,5.0,4.0,4.0,19.0,27.4678,-82.512
single_family,1725000.0,2775.0,1.0,3.0,3.0,3.0,4.0,20.0,30.6697,-81.4626
single_family,625000.0,1986.0,1.0,3.0,2.0,2.0,2.0,48.0,30.1382,-81.7742
condos,420000.0,908.0,1.0,1.0,1.0,1.0,0.0,19.0,26.1216,-80.1288
single_family,3300000.0,6954.0,2.0,5.0,7.0,5.0,4.0,11.0,27.2822,-82.4181
condo_townhome_rowhome_coop,920000.0,1680.0,1.0,2.0,2.0,2.0,0.0,46.0,25.985,-80.1407
single_family,655000.0,1994.0,1.0,2.0,2.0,2.0,2.0,10.0,26.5088,-80.1896
single_family,2500000.0,3764.0,2.0,4.0,5.0,4.0,2.0,49.0,27.2566,-82.5398
single_family,245000.0,1204.0,1.0,3.0,2.0,2.0,0.0,41.0,28.0168,-80.6739
single_family,785000.0,2660.0,1.0,4.0,4.0,4.0,8.0,45.0,27.4493,-80.3592
mobile,29900.0,1593.0,1.0,2.0,2.0,2.0,0.0,34.0,28.2151,-82.1506
condos,417999.0,1749.0,1.0,3.0,2.0,2.0,0.0,41.0,28.3903,-80.6043
single_family,2800000.0,5507.0,2.0,5.0,6.0,5.0,3.0,29.0,26.1168,-80.4156
single_family,686000.0,2542.0,1.0,4.0,3.0,3.0,2.0,29.0,28.4115,-81.525
condos,1000000.0,1662.0,1.0,2.0,2.0,2.0,1.0,45.0,26.7832,-80.0638
single_family,550000.0,4200.0,2.0,4.0,4.0,3.0,0.0,5.0,30.4753,-85.4293
single_family,1155000.0,3025.0,1.0,3.0,3.0,3.0,2.0,8.0,27.45,-82.3773
single_family,1100000.0,2714.0,1.0,5.0,2.0,2.0,2.0,60.0,27.845,-82.3125
single_family,574900.0,1827.0,1.0,3.0,2.0,2.0,2.0,9.0,27.4978,-82.4101
single_family,675000.0,2382.0,1.0,3.0,3.0,3.0,2.0,33.0,27.4203,-80.9454
single_family,862500.0,2688.0,2.0,3.0,3.0,2.0,2.0,38.0,27.0933,-82.4498
single_family,2100000.0,5022.0,3.0,4.0,4.0,4.0,3.0,9.0,29.1383,-80.9956
single_family,678750.0,2342.0,2.0,3.0,3.0,2.0,2.0,1.0,30.3031,-81.4404
single_family,220000.0,1468.0,1.0,2.0,2.0,2.0,2.0,40.0,28.4655,-82.5981
single_family,590000.0,2459.0,1.0,3.0,3.0,3.0,3.0,21.0,29.2833,-81.0882
single_family,3300000.0,3078.0,1.0,4.0,5.0,4.0,2.0,57.0,26.3462,-80.0844
townhomes,440000.0,1670.0,2.0,3.0,3.0,2.0,2.0,37.0,28.4522,-81.4678
single_family,725000.0,2588.0,1.0,4.0,3.0,3.0,2.0,24.0,30.4735,-81.5448
single_family,1010000.0,2541.0,1.0,4.0,3.0,3.0,3.0,30.0,26.3446,-80.2109
single_family,560000.0,1632.0,1.0,3.0,2.0,2.0,2.0,40.0,26.1793,-80.2746
townhomes,725000.0,2008.0,2.0,3.0,3.0,3.0,1.0,17.0,25.8141,-80.3549
single_family,3625000.0,1658.0,1.0,3.0,2.0,2.0,0.0,40.0,24.7279,-81.0386
condos,1375000.0,1876.0,3.0,3.0,3.0,2.0,0.0,21.0,25.0865,-80.4473
single_family,2500000.0,4385.0,2.0,6.0,5.0,5.0,2.0,17.0,26.9339,-80.1201
mobile,52500.0,1248.0,1.0,2.0,2.0,2.0,0.0,27.0,28.1984,-81.487
condos,585000.0,1096.0,1.0,2.0,2.0,2.0,0.0,51.0,27.4125,-82.659
single_family,490000.0,2237.0,1.0,4.0,2.0,2.0,2.0,21.0,30.0933,-81.719
condos,3010000.0,2493.0,3.0,3.0,2.0,2.0,2.0,13.0,26.8289,-80.0603
mobile,360000.0,1782.0,1.0,3.0,2.0,2.0,0.0,35.0,30.2757,-81.9686
townhomes,440000.0,1877.0,2.0,4.0,4.0,3.0,1.0,19.0,26.5312,-80.1418
single_family,725000.0,1942.0,1.0,3.0,2.0,2.0,2.0,40.0,27.0813,-80.1509
townhomes,375000.0,1826.0,2.0,3.0,2.0,2.0,2.0,45.0,30.5169,-86.4822
single_family,639000.0,2704.0,1.0,4.0,3.0,3.0,2.0,21.0,30.011,-81.4108
single_family,365000.0,2156.0,1.0,4.0,4.0,3.0,0.0,10.0,30.1655,-85.7116
single_family,7850000.0,7321.0,4.0,10.0,13.0,11.0,1.0,2.0,30.3659,-86.2458
condos,585000.0,944.0,1.0,2.0,2.0,2.0,0.0,41.0,27.3269,-82.5433
single_family,470000.0,1652.0,1.0,3.0,2.0,2.0,2.0,48.0,28.0662,-82.7585
townhomes,1625000.0,2089.0,2.0,3.0,4.0,3.0,2.0,19.0,26.134,-81.7953
single_family,350000.0,2330.0,1.0,3.0,2.0,2.0,3.0,18.0,29.1281,-82.2975
single_family,175000.0,1120.0,1.0,2.0,2.0,2.0,1.0,34.0,28.808,-81.8858
single_family,1089990.0,2974.0,2.0,4.0,4.0,4.0,2.0,1.0,27.9425,-82.5057
condos,475000.0,1452.0,1.0,2.0,2.0,2.0,0.0,49.0,27.2356,-80.2277
single_family,975000.0,2770.0,2.0,4.0,4.0,4.0,2.0,42.0,28.0662,-82.7585
condos,390000.0,1411.0,2.0,3.0,2.0,2.0,0.0,46.0,26.3464,-80.1564
single_family,3375000.0,5064.0,1.0,5.0,5.0,4.0,4.0,32.0,26.4116,-80.0928
single_family,1361000.0,2695.0,2.0,5.0,4.0,4.0,1.0,26.0,30.3949,-86.4692
single_family,340000.0,1850.0,1.0,4.0,3.0,3.0,2.0,26.0,28.2444,-82.6986
single_family,470000.0,2345.0,1.0,4.0,2.0,2.0,2.0,23.0,27.3094,-80.345
single_family,329900.0,1858.0,1.0,3.0,2.0,2.0,2.0,18.0,27.9816,-80.6894
single_family,269900.0,1458.0,1.0,4.0,2.0,2.0,2.0,0.0,30.1653,-85.5763
townhomes,715000.0,2921.0,3.0,4.0,4.0,3.0,2.0,8.0,26.0185,-80.3449
single_family,329990.0,1862.0,1.0,4.0,2.0,2.0,2.0,1.0,30.4507,-81.6626
single_family,500000.0,2086.0,1.0,2.0,2.0,2.0,2.0,20.0,27.3215,-80.403
single_family,480000.0,2781.0,1.0,3.0,4.0,3.0,3.0,2.0,27.5572,-82.396
condos,600000.0,1403.0,1.0,2.0,2.0,2.0,1.0,46.0,27.947,-82.7943
single_family,392400.0,1900.0,1.0,4.0,2.0,2.0,0.0,42.0,28.1905,-81.2645
single_family,1784000.0,3646.0,1.0,5.0,4.0,4.0,3.0,25.0,26.0663,-80.3339
single_family,1250000.0,3775.0,2.0,5.0,4.0,3.0,2.0,26.0,30.3949,-86.4692
townhomes,530000.0,1902.0,2.0,4.0,3.0,2.0,1.0,42.0,30.4206,-86.6286
condos,300000.0,2004.0,1.0,3.0,3.0,2.0,2.0,35.0,26.9152,-82.0532
single_family,339900.0,2043.0,1.0,5.0,3.0,3.0,2.0,0.0,30.1653,-85.5763
single_family,2860000.0,7631.0,2.0,5.0,5.0,4.0,2.0,40.0,25.7341,-80.4068
single_family,1375000.0,3875.0,1.0,3.0,4.0,3.0,2.0,33.0,26.8055,-80.2482
single_family,256000.0,1366.0,1.0,2.0,2.0,2.0,2.0,35.0,28.4655,-82.5981
condos,202000.0,1385.0,1.0,3.0,2.0,2.0,0.0,40.0,26.5312,-80.1418
townhomes,310000.0,1192.0,2.0,2.0,3.0,2.0,0.0,46.0,28.3903,-80.6043
single_family,485000.0,1952.0,1.0,3.0,3.0,2.0,2.0,3.0,26.7383,-80.276
single_family,300000.0,1200.0,2.0,2.0,3.0,2.0,0.0,19.0,29.8119,-85.303
mobile,159900.0,1250.0,1.0,3.0,2.0,2.0,0.0,9.0,29.1989,-82.0874
mobile,185000.0,2046.0,1.0,2.0,3.0,3.0,0.0,19.0,27.2889,-80.298
single_family,445000.0,1255.0,1.0,3.0,2.0,2.0,2.0,67.0,27.8466,-82.7954
single_family,2350000.0,3126.0,1.0,5.0,4.0,3.0,3.0,10.0,25.6574,-80.3627
single_family,315000.0,1757.0,1.0,4.0,2.0,2.0,2.0,19.0,29.2353,-81.0658
single_family,549000.0,1951.0,1.0,3.0,2.0,2.0,2.0,28.0,26.4517,-80.158
single_family,492500.0,2558.0,1.0,4.0,3.0,3.0,2.0,59.0,30.5422,-84.1413
single_family,292245.0,1580.0,1.0,3.0,2.0,2.0,2.0,0.0,30.1653,-85.5763
single_family,467000.0,2123.0,1.0,3.0,2.0,2.0,2.0,1.0,27.7716,-82.4102
single_family,460000.0,2005.0,1.0,3.0,2.0,2.0,2.0,3.0,27.0606,-82.352
townhomes,330000.0,1760.0,2.0,3.0,3.0,2.0,2.0,6.0,29.9475,-81.5264
single_family,1800000.0,2906.0,1.0,3.0,4.0,3.0,2.0,23.0,26.8055,-80.2482
single_family,705000.0,3250.0,2.0,4.0,3.0,3.0,3.0,28.0,30.2214,-81.5571
single_family,3850000.0,4824.0,1.0,5.0,7.0,6.0,2.0,1.0,25.7877,-80.4166
mobile,65000.0,1639.0,1.0,2.0,2.0,2.0,0.0,30.0,27.902,-82.0015
single_family,855000.0,1981.0,1.0,3.0,2.0,2.0,0.0,25.0,30.3659,-86.2458
