type,lastSoldPrice,sqft,stories,beds,baths,baths_full,garage,age,lat,long
single_family,445000.0,2243.0,2.0,3.0,3.0,2.0,2.0,38.0,28.2129,-82.6807
single_family,1350000.0,3864.0,1.0,4.0,4.0,3.0,3.0,32.0,27.09,-82.37
single_family,1000000.0,3450.0,1.0,5.0,4.0,3.0,3.0,36.0,28.046,-82.6848
single_family,1390000.0,2466.0,2.0,3.0,3.0,3.0,2.0,21.0,30.3155,-81.4051
single_family,6375000.0,4502.0,4.0,6.0,7.0,6.0,2.0,7.0,30.2835,-86.0305
single_family,1258000.0,2478.0,2.0,3.0,3.0,3.0,2.0,8.0,27.789,-82.6779
condos,347500.0,1779.0,1.0,3.0,2.0,2.0,2.0,25.0,27.4978,-82.4101
single_family,675000.0,2613.0,1.0,4.0,3.0,3.0,2.0,20.0,27.0933,-82.4498
single_family,455000.0,1748.0,1.0,2.0,3.0,2.0,2.0,3.0,29.1419,-81.1402
condos,613550.0,1255.0,1.0,2.0,2.0,2.0,0.0,41.0,27.6705,-82.7119
condos,480000.0,1145.0,1.0,2.0,2.0,2.0,1.0,40.0,27.7549,-82.7208
single_family,500000.0,2092.0,1.0,4.0,2.0,2.0,2.0,13.0,28.2129,-82.6807
single_family,4350000.0,5774.0,1.0,4.0,6.0,5.0,3.0,20.0,26.4543,-80.1346
single_family,671000.0,2894.0,1.0,3.0,2.0,2.0,4.0,46.0,28.391,-80.787
single_family,1688000.0,2585.0,1.0,3.0,3.0,3.0,3.0,13.0,27.4067,-82.39
single_family,1450000.0,2854.0,1.0,4.0,3.0,3.0,3.0,14.0,26.9339,-80.1201
single_family,400000.0,1670.0,1.0,3.0,2.0,2.0,2.0,15.0,28.2061,-80.685
single_family,1049000.0,3797.0,2.0,4.0,4.0,4.0,3.0,9.0,27.8293,-82.1357
single_family,330000.0,1505.0,2.0,3.0,3.0,2.0,1.0,26.0,28.1145,-81.6201
single_family,404500.0,1718.0,1.0,3.0,2.0,2.0,2.0,15.0,30.4896,-86.1684
single_family,380000.0,1338.0,1.0,2.0,2.0,2.0,2.0,46.0,26.5312,-80.1418
single_family,365000.0,1475.0,1.0,3.0,2.0,2.0,2.0,4.0,27.0808,-82.1516
single_family,787000.0,1872.0,2.0,3.0,3.0,2.0,0.0,37.0,29.8119,-85.303
single_family,750000.0,2097.0,2.0,4.0,2.0,2.0,4.0,30.0,27.8633,-82.3499
single_family,480000.0,1697.0,1.0,3.0,2.0,2.0,2.0,39.0,29.9175,-81.3668
single_family,625000.0,2326.0,1.0,4.0,3.0,3.0,2.0,34.0,30.1655,-85.7116
single_family,920000.0,2456.0,1.0,4.0,3.0,3.0,3.0,4.0,29.0247,-80.9584
single_family,515000.0,2231.0,1.0,4.0,3.0,3.0,3.0,27.0,28.1331,-80.7112
single_family,330000.0,1976.0,1.0,3.0,2.0,2.0,2.0,18.0,30.4896,-86.1684
single_family,699000.0,3514.0,2.0,4.0,4.0,3.0,2.0,7.0,30.6143,-87.3251
single_family,2690000.0,3969.0,1.0,3.0,4.0,4.0,3.0,5.0,26.403,-80.1813
mobile,170000.0,1296.0,1.0,3.0,2.0,2.0,0.0,21.0,26.9298,-82.0454
mobile,32500.0,1056.0,1.0,2.0,2.0,2.0,0.0,44.0,29.1253,-82.0086
single_family,310000.0,1354.0,1.0,3.0,2.0,2.0,2.0,29.0,26.8842,-82.2691
condos,325000.0,1985.0,1.0,3.0,2.0,2.0,0.0,41.0,27.4759,-82.6167
single_family,428000.0,2648.0,1.0,3.0,2.0,2.0,2.0,29.0,29.2813,-82.4917
single_family,1000000.0,3284.0,2.0,4.0,4.0,3.0,3.0,23.0,26.0185,-80.3449
single_family,1175000.0,2543.0,1.0,3.0,3.0,3.0,2.0,21.0,30.3949,-86.4692
condos,180000.0,1362.0,3.0,2.0,2.0,2.0,0.0,35.0,26.4543,-80.1346
single_family,530000.0,1900.0,1.0,3.0,2.0,2.0,2.0,12.0,27.004,-82.2117
single_family,600000.0,2952.0,2.0,5.0,3.0,3.0,3.0,30.0,28.046,-82.6848
single_family,3550000.0,6687.0,2.0,4.0,6.0,5.0,4.0,20.0,30.3031,-81.4404
condos,185000.0,1138.0,1.0,2.0,2.0,2.0,0.0,41.0,26.9152,-82.0532
single_family,650000.0,2740.0,3.0,3.0,4.0,3.0,1.0,24.0,29.9175,-81.3668
single_family,790000.0,2298.0,1.0,3.0,2.0,2.0,2.0,3.0,26.8055,-80.2482
single_family,1335000.0,2675.0,1.0,3.0,3.0,3.0,3.0,1.0,27.339,-82.3473
townhomes,619000.0,1932.0,2.0,3.0,3.0,2.0,4.0,9.0,26.0185,-80.3449
single_family,455000.0,1936.0,1.0,3.0,2.0,2.0,2.0,4.0,27.0606,-82.352
single_family,1275000.0,3424.0,2.0,4.0,4.0,3.0,2.0,2.0,30.7041,-85.9546
condos,560000.0,2203.0,1.0,3.0,3.0,3.0,1.0,22.0,27.1838,-82.4853
single_family,370000.0,1275.0,1.0,2.0,2.0,2.0,2.0,6.0,27.0933,-82.4498
townhomes,1875000.0,3041.0,3.0,4.0,3.0,3.0,2.0,4.0,27.9475,-82.4584
single_family,1725000.0,4247.0,1.0,4.0,5.0,4.0,3.0,19.0,27.4047,-82.4705
condos,2600000.0,2085.8,1.0,2.0,3.0,2.0,2.0,1.0,26.2343,-80.0941
single_family,330000.0,1720.0,1.0,2.0,2.0,2.0,2.0,30.0,28.4794,-82.5083
single_family,360000.0,1837.0,1.0,3.0,2.0,2.0,2.0,43.0,26.9905,-82.0964
single_family,1450000.0,3292.0,2.0,4.0,4.0,3.0,3.0,7.0,30.3105,-85.9106
single_family,380000.0,1644.0,1.0,3.0,2.0,2.0,2.0,6.0,27.9816,-80.6894
condos,310000.0,1921.0,1.0,3.0,3.0,3.0,1.0,28.0,29.9475,-81.5264
single_family,289900.0,1466.0,1.0,2.0,2.0,2.0,2.0,34.0,26.9667,-82.3599
single_family,281650.0,1780.0,1.0,2.0,2.0,2.0,2.0,44.0,28.4655,-82.5981
single_family,675000.0,2502.0,1.0,3.0,2.0,2.0,2.0,46.0,28.6271,-80.8429
single_family,650000.0,2312.0,2.0,4.0,3.0,2.0,2.0,25.0,29.9475,-81.5264
condos,1700000.0,1448.0,1.0,2.0,2.0,2.0,1.0,52.0,26.3462,-80.0844
single_family,310000.0,1812.0,1.0,4.0,2.0,2.0,2.0,3.0,30.1653,-85.5763
condos,850000.0,1730.0,1.0,2.0,3.0,2.0,2.0,23.0,26.1216,-80.1288
multi_family,805000.0,2997.0,1.0,4.4,3.6,3.2,0.0,50.0,26.1421,-80.1728
single_family,1625000.0,2784.0,2.0,4.0,3.0,3.0,1.0,13.0,30.3659,-86.2458
single_family,670000.0,2441.0,1.0,4.0,3.0,3.0,2.0,38.0,26.3907,-80.2161
single_family,295000.0,1762.0,1.0,3.0,2.0,2.0,3.0,28.0,28.808,-81.8858
single_family,414000.0,2495.0,1.0,4.0,3.0,3.0,2.0,5.0,29.9475,-81.5264
single_family,215000.0,1196.0,1.0,3.0,2.0,2.0,0.0,30.0,30.6604,-87.0473
single_family,289990.0,1609.0,1.0,4.0,2.0,2.0,2.0,0.0,29.4562,-81.3244
single_family,489500.0,2267.0,1.0,4.0,2.0,2.0,2.0,20.0,29.0247,-80.9584
single_family,715000.0,3300.0,1.0,5.0,4.0,3.0,3.0,7.0,30.6698,-87.1794
single_family,755000.0,2539.0,2.0,4.0,3.0,2.0,2.0,29.0,26.2997,-80.181
single_family,675000.0,2698.0,1.0,4.0,3.0,3.0,2.0,21.0,27.7147,-82.3538
single_family,445000.0,1750.0,1.0,3.0,2.0,2.0,2.0,30.0,26.5312,-80.1418
single_family,402000.0,2376.0,2.0,4.0,3.0,2.0,2.0,56.0,30.3704,-81.5864
condos,755000.0,1432.0,1.0,3.0,3.0,3.0,1.0,11.0,25.8156,-80.1897
single_family,282000.0,1577.0,1.0,2.0,2.0,2.0,2.0,22.0,27.004,-82.2117
single_family,330000.0,1689.0,1.0,4.0,2.0,2.0,2.0,28.0,28.1145,-81.6201
single_family,399990.0,2499.0,2.0,5.0,3.0,3.0,2.0,0.0,30.4507,-81.6626
single_family,400000.0,1712.0,1.0,3.0,2.0,2.0,2.0,31.0,27.7147,-82.3538
single_family,405000.0,1839.0,1.0,3.0,3.0,2.0,2.0,37.0,27.3215,-80.403
single_family,830000.0,2095.0,1.0,3.0,2.0,2.0,2.0,2.0,26.8055,-80.2482
single_family,970000.0,2900.0,2.0,4.0,5.0,4.0,2.0,0.0,30.1204,-81.4128
single_family,432704.0,1602.0,1.0,3.0,2.0,2.0,2.0,37.0,28.834,-82.2822
single_family,518900.0,2255.0,2.0,4.0,3.0,3.0,3.0,0.0,30.4651,-84.1128
mobile,37000.0,961.2,1.0,2.0,2.0,2.0,0.0,42.0,26.4972,-81.8246
single_family,534500.0,2255.0,2.0,4.0,3.0,3.0,3.0,0.0,30.4651,-84.1128
single_family,1170000.0,2652.0,1.0,4.0,3.0,3.0,3.0,32.0,27.09,-82.37
single_family,517500.0,1997.0,3.0,3.0,3.0,2.0,2.0,37.0,30.1223,-81.3627
single_family,900000.0,1116.0,2.0,2.0,2.0,2.0,4.0,53.0,25.0865,-80.4473
single_family,279000.0,1967.0,1.0,3.0,2.0,2.0,2.0,27.0,28.808,-81.8858
single_family,129000.0,980.0,1.0,3.0,2.0,2.0,0.0,35.0,30.6143,-87.3251
single_family,545000.0,2664.0,1.0,4.0,3.0,2.0,2.0,20.0,30.3962,-87.0274
single_family,495000.0,3438.0,1.0,4.0,3.0,3.0,3.0,13.0,30.7773,-86.4832
single_family,360000.0,1531.0,1.0,2.0,2.0,2.0,2.0,37.0,27.0606,-82.352
townhomes,335000.0,1991.0,2.0,3.0,3.0,2.0,2.0,5.0,28.2444,-82.6986
single_family,2700000.0,5352.0,2.0,5.0,5.0,4.0,2.0,21.0,28.3903,-80.6043
single_family,735000.0,2086.0,1.0,3.0,3.0,2.0,2.0,29.0,26.8234,-80.1387
single_family,315000.0,1578.0,1.0,3.0,2.0,2.0,0.0,73.0,30.4286,-84.2593
single_family,1300000.0,4002.0,1.0,4.0,6.0,5.0,2.0,41.0,26.4116,-80.0928
single_family,3100000.0,4854.0,1.0,6.0,5.0,5.0,3.0,37.0,26.3799,-80.0975
townhomes,475000.0,1408.0,2.0,3.0,2.0,2.0,0.0,26.0,26.1421,-80.1728
single_family,435000.0,2502.0,2.0,4.0,3.0,3.0,2.0,20.0,30.2231,-81.7556
condos,372000.0,1205.0,2.0,2.0,3.0,2.0,0.0,51.0,28.178,-80.602
single_family,2750000.0,5501.0,2.0,4.0,6.0,5.0,3.0,20.0,30.351,-81.5061
condos,337500.0,1013.0,1.0,2.0,2.0,2.0,0.0,53.0,27.0933,-82.4498
single_family,485000.0,2500.0,2.0,4.0,3.0,3.0,2.0,0.0,29.9475,-81.5264
mobile,180000.0,1232.0,1.0,2.0,2.0,2.0,0.0,28.0,27.9085,-82.7568
single_family,564900.0,2364.0,1.0,4.0,3.0,3.0,2.0,9.0,30.4651,-84.1128
single_family,279900.0,1450.0,1.0,3.0,2.0,2.0,1.0,0.0,30.5761,-87.0663
